,MWF,MW,M,MF,TuTh,Tu,WF,W,Th,FS,F
1600,"Monday, December 11th, 5:30 PM - 7:30 PM","Monday, December 11th, 5:30 PM - 7:30 PM","Monday, December 11th, 5:30 PM - 7:30 PM","Monday, December 11th, 5:30 PM - 7:30 PM","Thursday, December 14th, 5:30 PM - 7:30 PM","Tuesday, December 12th, 5:30 PM - 7:30 PM","Friday, December 15th, 5:30 PM - 7:30 PM","Wednesday, December 13th, 5:30 PM - 7:30 PM","Thursday, December 14th, 5:30 PM - 7:30 PM","Friday, December 15th, 5:30 PM - 7:30 PM","Friday, December 15th, 5:30 PM - 7:30 PM"
1630,"Monday, December 11th, 5:30 PM - 7:30 PM","Monday, December 11th, 5:30 PM - 7:30 PM","Monday, December 11th, 5:30 PM - 7:30 PM","Monday, December 11th, 5:30 PM - 7:30 PM","Thursday, December 14th, 5:30 PM - 7:30 PM","Tuesday, December 12th, 5:30 PM - 7:30 PM","Friday, December 15th, 5:30 PM - 7:30 PM","Wednesday, December 13th, 5:30 PM - 7:30 PM","Thursday, December 14th, 5:30 PM - 7:30 PM","Friday, December 15th, 5:30 PM - 7:30 PM","Friday, December 15th, 5:30 PM - 7:30 PM"
1700,"Wednesday, December 13th, 5:30 PM - 7:30 PM","Wednesday, December 13th, 5:30 PM - 7:30 PM","Monday, December 11th, 5:30 PM - 7:30 PM","Friday, December 15th, 5:30 PM - 7:30 PM","Tuesday, December 12th, 5:30 PM - 7:30 PM","Tuesday, December 12th, 5:30 PM - 7:30 PM","Wednesday, December 13th, 5:30 PM - 7:30 PM","Wednesday, December 13th, 5:30 PM - 7:30 PM","Thursday, December 14th, 5:30 PM - 7:30 PM",,"Friday, December 15th, 5:30 PM - 7:30 PM"
1730,"Wednesday, December 13th, 5:30 PM - 7:30 PM","Wednesday, December 13th, 5:30 PM - 7:30 PM","Monday, December 11th, 5:30 PM - 7:30 PM","Friday, December 15th, 5:30 PM - 7:30 PM","Tuesday, December 12th, 5:30 PM - 7:30 PM","Tuesday, December 12th, 5:30 PM - 7:30 PM","Wednesday, December 13th, 5:30 PM - 7:30 PM","Wednesday, December 13th, 5:30 PM - 7:30 PM","Thursday, December 14th, 5:30 PM - 7:30 PM",,"Friday, December 15th, 5:30 PM - 7:30 PM"
1800,,"Wednesday, December 13th, 8 PM - 10 PM","Monday, December 11th, 8 PM - 10 PM",,"Tuesday, December 12th, 8 PM - 10 PM","Tuesday, December 12th, 8 PM - 10 PM",,"Wednesday, December 13th, 8 PM - 10 PM","Thursday, December 14th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM"
1830,,"Wednesday, December 13th, 8 PM - 10 PM","Monday, December 11th, 8 PM - 10 PM",,"Tuesday, December 12th, 8 PM - 10 PM","Tuesday, December 12th, 8 PM - 10 PM",,"Wednesday, December 13th, 8 PM - 10 PM","Thursday, December 14th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM"
1900,,"Wednesday, December 13th, 8 PM - 10 PM","Monday, December 11th, 8 PM - 10 PM",,"Tuesday, December 12th, 8 PM - 10 PM","Tuesday, December 12th, 8 PM - 10 PM",,"Wednesday, December 13th, 8 PM - 10 PM","Thursday, December 14th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM"
1930,,"Wednesday, December 13th, 8 PM - 10 PM","Monday, December 11th, 8 PM - 10 PM",,"Tuesday, December 12th, 8 PM - 10 PM","Tuesday, December 12th, 8 PM - 10 PM",,"Wednesday, December 13th, 8 PM - 10 PM","Thursday, December 14th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM"
2000,,"Monday, December 11th, 8 PM - 10 PM","Monday, December 11th, 8 PM - 10 PM",,"Thursday, December 14th, 8 PM - 10 PM","Tuesday, December 12th, 8 PM - 10 PM",,"Wednesday, December 13th, 8 PM - 10 PM","Thursday, December 14th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM"
2030,,"Monday, December 11th, 8 PM - 10 PM","Monday, December 11th, 8 PM - 10 PM",,"Thursday, December 14th, 8 PM - 10 PM","Tuesday, December 12th, 8 PM - 10 PM",,"Wednesday, December 13th, 8 PM - 10 PM","Thursday, December 14th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM"
2100,,"Monday, December 11th, 8 PM - 10 PM","Monday, December 11th, 8 PM - 10 PM",,"Thursday, December 14th, 8 PM - 10 PM","Tuesday, December 12th, 8 PM - 10 PM",,"Wednesday, December 13th, 8 PM - 10 PM","Thursday, December 14th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM"
2130,,"Monday, December 11th, 8 PM - 10 PM","Monday, December 11th, 8 PM - 10 PM",,"Thursday, December 14th, 8 PM - 10 PM","Tuesday, December 12th, 8 PM - 10 PM",,"Wednesday, December 13th, 8 PM - 10 PM","Thursday, December 14th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM","Friday, December 15th, 8 PM - 10 PM"
2200,,,,,,,,,,,
2230,,,,,,,,,,,
